"year","age","sex","maritl","race","education","region","jobclass","health","health_ins","wage"
2007,52," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",139.703071527658
2003,70," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",78.3924668009837
2005,30," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",141.775856466307
2006,44," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",116.265324062503
2003,34," Male"," Married"," Asian"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",148.413159102577
2007,38," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",87.9810327856054
2006,28," Male"," Separated"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",90.4819133566401
2005,38," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",141.77517233318
2003,39," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",63.0927167348386
2008,52," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," <=Good"," Yes",65.1108537153447
2004,34," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",151.591484239814
2003,33," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",123.089699847943
2007,45," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",118.884359339886
2006,58," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",79.8549003093467
2003,38," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",104.004959912222
2007,63," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," <=Good"," No",55.5361044177385
2007,38," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",99.6894636984864
2007,31," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",99.6894636984864
2007,53," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",193.452606894109
2009,21," Male"," Never Married"," Black"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",102.870246933215
2006,38," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",164.646988930328
2004,18," Male"," Never Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",69.6190369046763
2008,28," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",99.6894636984864
2003,33," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",114.475713290347
2004,32," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",99.6894636984864
2009,29," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",95.2307125669819
2005,28," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",82.6796372966372
2005,42," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",116.943081320617
2007,28," Male"," Widowed"," White"," < HS Grad"," Middle Atlantic"," Information"," <=Good"," No",54.5981500331442
2009,36," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",138.299126920883
2007,47," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",130.982177377461
2007,53," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",281.745970551857
2003,48," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",163.515863976238
2006,36," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",179.214858036271
2007,55," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",126.323880709786
2008,37," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",70.4760196469445
2009,68," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," <=Good"," Yes",118.019753340006
2003,65," Male"," Married"," Other"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",71.3196387942183
2007,37," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," No",114.475713290347
2007,33," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",138.299126920883
2003,19," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",54.5981500331442
2004,50," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",94.0727147457005
2004,22," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," No",80.4302079458208
2004,40," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",89.2428846644714
2008,45," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",117.146816914805
2009,36," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," No",127.115743812184
2005,37," Male"," Married"," Asian"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",81.2832532842527
2003,24," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",52.4070640482002
2007,66," Male"," Married"," Black"," < HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",99.6894636984864
2004,35," Male"," Married"," Asian"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",63.1888610037461
2009,33," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",196.125272594255
2005,44," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",101.82435207568
2004,48," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",107.903923866876
2009,47," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",51.2396549228382
2004,41," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",99.6894636984864
2005,55," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",63.1888610037461
2008,74," Male"," Divorced"," Black"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," No",148.413159102577
2007,33," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",99.6894636984864
2003,62," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," <=Good"," Yes",130.982177377461
2004,56," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",101.82435207568
2006,29," Male"," Never Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",99.6894636984864
2009,56," Male"," Never Married"," Black"," < HS Grad"," Middle Atlantic"," Information"," <=Good"," No",79.8549003093467
2009,47," Male"," Married"," Black"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",160.642475408263
2005,45," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",134.705375118879
2007,44," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",160.642475408263
2004,25," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",91.6992261117042
2005,45," Male"," Divorced"," Black"," Some College"," Middle Atlantic"," Information"," >=Very Good"," No",75.3556793180091
2005,40," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",136.15771083723
2003,56," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",134.705375118879
2005,56," Male"," Married"," Asian"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",81.9853178344996
2003,47," Male"," Married"," Asian"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",176.989650489877
2007,39," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",118.886080351034
2005,38," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",121.262745732618
2009,48," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",94.0727147457005
2005,44," Male"," Married"," Black"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",99.6894636984864
2003,42," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," No",123.908567597957
2009,55," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",118.884359339886
2006,61," Male"," Never Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," No",82.6796372966372
2006,39," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",81.2832532842527
2005,30," Male"," Married"," Black"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",104.921506533664
2009,49," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",99.6894636984864
2006,33," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",136.15771083723
2006,31," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",81.2832532842527
2005,35," Male"," Never Married"," Asian"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",68.5086896572248
2003,55," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",81.2832532842527
2008,36," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",114.475713290347
2003,37," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",118.019753340006
2006,33," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",99.6894636984864
2006,48," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",118.884359339886
2004,47," Male"," Married"," Asian"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",118.884359339886
2003,60," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," <=Good"," Yes",123.089699847943
2004,28," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," <=Good"," Yes",109.833985642199
2005,28," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",102.870246933215
2005,48," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",163.515863976238
2009,29," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," No",117.146816914805
2004,40," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",92.3000614282589
2009,32," Male"," Never Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",100.013486924706
2004,33," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",55.0697284222779
2003,40," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",101.82435207568
2004,42," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",148.413159102577
2003,36," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",115.375038556391
2004,39," Male"," Married"," Black"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",73.7757432746946
2009,44," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",267.901086855275
2009,43," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",129.453644576625
2008,44," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",96.3706528322308
2006,29," Male"," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",87.9810327856054
2007,49," Male"," Married"," Black"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",104.921506533664
2007,47," Male"," Married"," Black"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",130.982177377461
2004,46," Male"," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",190.547678564741
2006,41," Male"," Divorced"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",118.019753340006
2008,52," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," No",79.8549003093467
2003,43," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",72.4793162971252
2004,38," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",148.413159102577
2003,42," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",74.4446382014083
2005,56," Male"," Married"," Black"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",118.884359339886
2003,39," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",128.680488220624
2005,29," Male"," Married"," Black"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",87.9810327856054
2009,33," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",267.901086855275
2004,33," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",104.921506533664
2004,41," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",92.8958447894966
2004,44," Male"," Never Married"," Black"," < HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",70.4760196469445
2005,45," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",200.543262324662
2004,58," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",102.870246933215
2005,29," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",102.870246933215
2004,42," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",65.1108537153447
2008,68," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",109.833985642199
2005,47," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," <=Good"," Yes",127.115743812184
2005,30," Male"," Married"," Black"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," No",94.0727147457005
2005,39," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",67.8625234113681
2008,42," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",125.525498433836
2006,49," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",165.208773767255
2009,36," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",81.2832532842527
2003,44," Male"," Married"," Asian"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",112.6488963421
2009,54," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",76.8936025176112
2003,42," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",75.0431540173515
2003,39," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",128.680488220624
2008,30," Male"," Married"," Asian"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",59.0970640815891
2004,33," Male"," Never Married"," Black"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",63.7733911962488
2003,28," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",84.0459576539924
2003,38," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",93.9371815810521
2005,30," Male"," Married"," Other"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",82.6796372966372
2008,25," Male"," Never Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",118.884359339886
2007,52," Male"," Married"," Black"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",81.2832532842527
2007,26," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",66.9616443217359
2009,54," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",166.324941233877
2005,62," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," No",99.6894636984864
2009,57," Male"," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Information"," <=Good"," Yes",141.77517233318
2003,32," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",143.134940811134
2003,60," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",35.0334213214995
2004,40," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",109.833985642199
2005,49," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",111.014405508798
2006,54," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",132.487821126123
2009,48," Male"," Never Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",148.413159102577
2009,35," Male"," Never Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",73.7757432746946
2009,46," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",143.699710133813
2007,42," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",99.6894636984864
2004,58," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",272.294783220064
2003,30," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",200.543262324662
2008,27," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",85.3865890236244
2008,55," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",109.833985642199
2004,50," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",61.0524210501246
2006,55," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",118.884359339886
2006,40," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",145.805163374625
2005,32," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," No",112.6488963421
2006,27," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",106.921814091211
2007,49," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",106.921814091211
2007,50," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," <=Good"," Yes",127.115743812184
2006,50," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",87.9810327856054
2008,44," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",144.47808766541
2007,57," Male"," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Information"," <=Good"," Yes",160.409701962289
2008,72," Male"," Married"," Black"," Advanced Degree"," Middle Atlantic"," Industrial"," <=Good"," No",87.9810327856054
2006,23," Male"," Never Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",65.1108537153447
2007,31," Male"," Never Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",176.989650489877
2008,36," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",54.5981500331442
2009,63," Male"," Married"," Black"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",109.833985642199
2006,48," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",81.698421724729
2005,46," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",114.475713290347
2003,55," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",142.634472767972
2007,44," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",160.642475408263
2006,44," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",94.0727147457005
2004,32," Male"," Married"," Other"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",54.5981500331442
2003,60," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",73.7757432746946
2004,42," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",160.642475408263
2009,48," Male"," Married"," Black"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",148.413159102577
2008,36," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",87.9823064294987
2009,31," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",101.82435207568
2006,54," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",111.720849360989
2007,29," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",106.921814091211
2003,46," Male"," Divorced"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",126.323880709786
2003,35," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",109.833985642199
2009,50," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",92.8958447894966
2005,25," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",54.5981500331442
2005,33," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Information"," <=Good"," No",96.3706528322308
2008,34," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",114.475713290347
2006,51," Male"," Married"," Black"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",94.0727147457005
2004,33," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",95.2307125669819
2007,59," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",139.00340805947
2006,62," Male"," Separated"," Black"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",81.2832532842527
2005,28," Male"," Separated"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",94.0727147457005
2008,40," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," <=Good"," Yes",87.9810327856054
2003,52," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",138.299126920883
2007,29," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",89.4924795180001
2007,34," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",92.8958447894966
2004,25," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",54.5981500331442
2005,66," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",94.0727147457005
2005,43," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",68.7480877337669
2007,45," Male"," Married"," Black"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",92.8958447894966
2006,35," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",114.475713290347
2005,43," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",109.833985642199
2007,49," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",109.833985642199
2004,60," Male"," Never Married"," Black"," < HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",77.0452008528242
2003,46," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",94.0727147457005
2009,55," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",101.82435207568
2006,32," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",118.884359339886
2007,53," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",133.232350826567
2009,57," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",157.10350432345
2007,51," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," <=Good"," Yes",281.745970551857
2004,59," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",182.020620963512
2006,45," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," <=Good"," Yes",119.09923477134
2006,56," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",71.6867436659172
2005,30," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",85.3839403789827
2006,21," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",72.1504556815713
2003,60," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",138.299126920883
2007,60," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",101.82435207568
2007,48," Male"," Divorced"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",109.833985642199
2003,39," Male"," Divorced"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," No",87.9810327856054
2009,32," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",115.375038556391
2007,51," Male"," Married"," Black"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",191.573683548412
2006,47," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",86.6951548289402
2007,44," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",75.8522371953675
2008,46," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",166.324941233877
2004,28," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",56.9055391446732
2003,24," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," No",99.6894636984864
2006,37," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",92.8958447894966
2006,31," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",99.6894636984864
2004,72," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",92.8958447894966
2008,50," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",101.82435207568
2007,36," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",145.143601176911
2006,27," Male"," Never Married"," Black"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",76.8936025176112
2009,27," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",90.4819133566401
2004,41," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",127.115743812184
2008,20," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," No",82.6796372966372
2008,49," Male"," Married"," Black"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",99.6894636984864
2007,25," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",64.1592325660882
