"Family","Father","Mother","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","D1","D2","D3","D4","D5","D6","D7","D8","D9","Children","MidParent","Offspring"
"185",66,59,8,7,6.5,6,5.7,5.5,5,NA,NA,NA,5,4,3,2,1,0,-2,-3,NA,15,2.46,3.63333333333333
"186",65,67,6.5,6,6,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,4,6.28,5.975
"187",65,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,6.28,3.24
"188",65,66,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,4,5.74,2.37
"189",65,66,7,NA,6,5,NA,NA,NA,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,5,5.74,4.896
"190",65,65,9,8,8,NA,NA,NA,NA,NA,NA,NA,5,5,2,2,1,-1,NA,NA,NA,9,5.2,4.45777777777778
"191",65,65.5,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,2,5.47,8.32
"192",65,65,9.2,9,8,7.7,NA,NA,NA,NA,NA,NA,4.5,0.5,NA,NA,NA,NA,NA,NA,NA,6,5.2,6.55
"193",65,64,7,7,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2.5,0.5,NA,NA,NA,NA,NA,6,4.66,4.31333333333333
"194",65,63,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,4.12,6.62
"195",65,63,6,6,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,4.12,5.08
"196",65.5,63,11,11,9,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,4,4.37,8.695
"197",65.5,60,8,8,7,7,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,5,2.75,6.432
"198",64,64,11.5,8,NA,NA,NA,NA,NA,NA,NA,NA,5.5,4,2,2,1,NA,NA,NA,NA,7,4.16,5.02285714285714
"199",64,64,10.5,8,NA,NA,NA,NA,NA,NA,NA,NA,7,5,4,4,0,NA,NA,NA,NA,7,4.16,5.72857142857143
"200",64,63,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.62,4.5
"201",64,60,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3
"202",63,63.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,3,NA,NA,NA,NA,NA,NA,NA,2,3.39,6.21
"203",62,66,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,3,4.24,2.41333333333333
"204",62.5,63,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,NA,NA,NA,2,2.87,1.63
